occupation	occupationLabelSv	occupationLabelEn	occupationLabelDe
http://www.wikidata.org/entity/Q3029430	forskningsdirektör vid CNRS	Director of Research at CNRS	Forschungsdirektor am CNRS
http://www.wikidata.org/entity/Q1499007	spökjägare	ghost hunter	Geisterjäger
http://www.wikidata.org/entity/Q1505781	kastellan	castellan	Kastellan
http://www.wikidata.org/entity/Q1577970	ama	ama	Ama
http://www.wikidata.org/entity/Q2998308	kosmolog	cosmologist	Kosmologe
http://www.wikidata.org/entity/Q3014296	motorcykelförare	motorcycle rider	Motorradrennfahrer
http://www.wikidata.org/entity/Q1553123	lektor	lector	Lektor
http://www.wikidata.org/entity/Q2961580	taxiförare	taxi driver	Taxifahrer
http://www.wikidata.org/entity/Q2961975	företagsledare	business executive	Unternehmensleiter
http://www.wikidata.org/entity/Q21550346	estetiker	aesthetician	Ästhetiker
http://www.wikidata.org/entity/Q21584816	talmudist	talmudist	Talmudgelehrter
http://www.wikidata.org/entity/Q21550489	konceptkonstnär	conceptual artist	Konzeptkünstler
http://www.wikidata.org/entity/Q21560152	specialeffektsansvarig	special effects artist	Spezialeffekt-Künstler
http://www.wikidata.org/entity/Q15634281	virolog	virologist	Virologe
http://www.wikidata.org/entity/Q2995513	nutidshistoriker	contemporary historian	Zeitgeschichtler
http://www.wikidata.org/entity/Q2994387	rådgivare	advisor	Berater
http://www.wikidata.org/entity/Q3024627	tidningstecknare	editorial cartoonist	Polit-Karikaturist
http://www.wikidata.org/entity/Q3026032	dialogförfattare	dialogue writer	Dialogautor
http://www.wikidata.org/entity/Q3024424	ljuddesigner	sound designer	Tondesigner
http://www.wikidata.org/entity/Q1569495	universitetsadjunkt	lecturer	Lecturer
http://www.wikidata.org/entity/Q1572123	systemingenjör	systems engineer	Systemingenieur
http://www.wikidata.org/entity/Q11848548	praktiksköterska	licensed practical nurse	Krankenpfleger
http://www.wikidata.org/entity/Q15442776	kryptograf	cryptographer	Kryptograph
http://www.wikidata.org/entity/Q15432439	trädgårdsingenjör	garden designer	Gartendesigner
http://www.wikidata.org/entity/Q15819198	handskmakare	glover	Handschuhmacher
http://www.wikidata.org/entity/Q15839134	ekolog	ecologist	Ökologe
http://www.wikidata.org/entity/Q1644847	sjöingenjör	naval architect	Schiffbauingenieur
http://www.wikidata.org/entity/Q1642960	kommentator	pundit	politischer Kommentator
http://www.wikidata.org/entity/Q1644347	audionom	audiologist	Audiologe
http://www.wikidata.org/entity/Q11774156	memoarförfattare	memoirist	Memoirenschreiber
http://www.wikidata.org/entity/Q1519593	fäktmästare	fencing master	Fechtmeister
http://www.wikidata.org/entity/Q1524582	ranchägare	rancher	Tierwirt
http://www.wikidata.org/entity/Q15978655	konsult	consultant	Berater
http://www.wikidata.org/entity/Q15977927	konstpedagog	art educator	Kunstlehrer
http://www.wikidata.org/entity/Q15978192	rashygienist	racial hygienist	Rassenhygieniker
http://www.wikidata.org/entity/Q1551626	kopparslagare	coppersmith	Kupferschmied
http://www.wikidata.org/entity/Q1544133	spelförfattare	board game designer	Spieleautor
http://www.wikidata.org/entity/Q1548249	mjukvaruarkitekt	software architect	Softwarearchitekt
http://www.wikidata.org/entity/Q15839206	molekylärbiolog	molecular biologist	Molekularbiologe
http://www.wikidata.org/entity/Q15839237	neuropatolog	neuropathologist	Neuropathologe
http://www.wikidata.org/entity/Q11607585	MMA-utövare	mixed martial arts fighter	Mixed-Martial-Arts-Kämpfer
http://www.wikidata.org/entity/Q11741162	koleopterolog	coleopterist	Käfersammler
http://www.wikidata.org/entity/Q11703711	assisterande tränare	assistant coach	Trainerassistent
http://www.wikidata.org/entity/Q11762416	logoped	speech and language therapist	Logopäde
http://www.wikidata.org/entity/Q23045969	andelsarrendator	sharecropper	Farmpächter
http://www.wikidata.org/entity/Q23011096	dagerrotypist	daguerreotypist	Daguerreotypist
http://www.wikidata.org/entity/Q23037330	recitatör	reciter	Rezitator
http://www.wikidata.org/entity/Q15816836	bakteriolog	bacteriologist	Bakteriologe
http://www.wikidata.org/entity/Q11892507	serieförfattare	comics writer	Comicautor
http://www.wikidata.org/entity/Q11879988	närvårdare	social and health care assistant	Sozial- und Gesundheitsassistent
http://www.wikidata.org/entity/Q11885948	osteopat	osteopath	Osteopath
http://www.wikidata.org/entity/Q3064032	fabulist	fabulist	Fabeldichter
http://www.wikidata.org/entity/Q3061999	astrobiolog	astrobiologist	Astrobiologe
http://www.wikidata.org/entity/Q1543547	Stewardship	stewardship	Rentamt
http://www.wikidata.org/entity/Q1540278	guvernant	governess	Gouvernante
http://www.wikidata.org/entity/Q1537445	hamnarbetare	stevedore	Hafenarbeiter
http://www.wikidata.org/entity/Q1630100	modell	art model	Modell
http://www.wikidata.org/entity/Q1631120	hotelldirektör	hotel manager	Hotelmanager
http://www.wikidata.org/entity/Q1599940	rivningsexpert	demolition expert	Sprengmeister
http://www.wikidata.org/entity/Q1607826	redaktör	editor	Herausgeber
http://www.wikidata.org/entity/Q1590915	bajadär	devadasi	Devadasi
http://www.wikidata.org/entity/Q23719050	bocciaspelare	boccia player	Boccia-Spieler
http://www.wikidata.org/entity/Q23452173	boule-spelare	pétanque player	Pétanque-Spieler
http://www.wikidata.org/entity/Q23719406	neurofysiolog	neurophysiologist	Neurophysiologe
http://www.wikidata.org/entity/Q3055126	entomolog	entomologist	Entomologe
http://www.wikidata.org/entity/Q11914886	komediförfattare	comedy writer	Komödienautor
http://www.wikidata.org/entity/Q15924544	lichenolog	lichenologist	Lichenologe
http://www.wikidata.org/entity/Q22662561	lekprogramledare	game show host	Gameshowmoderator
http://www.wikidata.org/entity/Q22809315	lantbrukskemist	agricultural chemist	Agrikulturchemiker
http://www.wikidata.org/entity/Q22669155	freskmålare	fresco painter	Freskenmaler
http://www.wikidata.org/entity/Q22811707	dekoratör	decorator	Dekorateur
http://www.wikidata.org/entity/Q22813352	resenär	traveler	Reisender
http://www.wikidata.org/entity/Q22813661	pizzabud	pizza delivery guy	Pizzalieferant
