occupation	occupationLabelSv	occupationLabelEn
http://www.wikidata.org/entity/Q2114175	provost	provost
http://www.wikidata.org/entity/Q2114605	farmakolog	pharmacologist
http://www.wikidata.org/entity/Q2113250	prorektor	prorector
http://www.wikidata.org/entity/Q947305	skald	skald
http://www.wikidata.org/entity/Q947873	TV-programledare	television presenter
http://www.wikidata.org/entity/Q82594	datavetare	computer scientist
http://www.wikidata.org/entity/Q81710	fåraherde	shepherd
http://www.wikidata.org/entity/Q4379701	professionell datorspelare	professional gamer
http://www.wikidata.org/entity/Q4334946	Onna-musha	onna-musha
http://www.wikidata.org/entity/Q336641	akutläkare	emergency physician
http://www.wikidata.org/entity/Q338221	kittelflickare	tinker
http://www.wikidata.org/entity/Q4270517	skidåkare	skier
http://www.wikidata.org/entity/Q4287237	faleristiker	phalerist
http://www.wikidata.org/entity/Q82955	politiker	politician
http://www.wikidata.org/entity/Q2180411	porträttmålare	portrait painter
http://www.wikidata.org/entity/Q2180295	postiljon	mail carrier
http://www.wikidata.org/entity/Q138858	underhållare	entertainer
http://www.wikidata.org/entity/Q144075	tandtekniker	dental technician
http://www.wikidata.org/entity/Q139648	IT-evangelist	technology evangelist
http://www.wikidata.org/entity/Q10709550	ungdomsledare	youth leader
http://www.wikidata.org/entity/Q10701548	travkusk	harness racer
http://www.wikidata.org/entity/Q10677791	Statsfru	Statsfru
http://www.wikidata.org/entity/Q10697333	thul	Thyle
http://www.wikidata.org/entity/Q10687768	systemägare	system owner
http://www.wikidata.org/entity/Q10694573	textilkonstnär	textile artist
http://www.wikidata.org/entity/Q10691728	teckenspråkstolk	sign language interpreter
http://www.wikidata.org/entity/Q331432	fiskare	fisher
http://www.wikidata.org/entity/Q155647	astrolog	astrologer
http://www.wikidata.org/entity/Q131524	entreprenör	entrepreneur
http://www.wikidata.org/entity/Q335175	Kanadas ridande polis	Royal Canadian Mounted Police
http://www.wikidata.org/entity/Q336221	juvelerare	jeweler
http://www.wikidata.org/entity/Q132050	guvernör	governor
