person	personLabelSv	cityOfBirth	occupationLabelsSv	occupationLabelsEn	sitelinks	occupationLabelsDe	occupationLabelsEs
http://www.wikidata.org/entity/Q6261046	John Torstensson	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	3	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q9154970	Anna-Kari Lindholm	http://www.wikidata.org/entity/Q977073	curlingspelare	curler	3	Curler	curler
http://www.wikidata.org/entity/Q25858333	Edvard Lundquist	http://www.wikidata.org/entity/Q983893	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q6255602	Jonas Åkesson	http://www.wikidata.org/entity/Q2211	målare	painter	3	Maler	pintor
http://www.wikidata.org/entity/Q10495133	Filip Hammar	http://www.wikidata.org/entity/Q174126	TV-programledare, filmregissör	television presenter, film director	3	Fernsehmoderator, Filmregisseur	presentador de televisión, director de cine
http://www.wikidata.org/entity/Q6438239	Kristina Knejp	http://www.wikidata.org/entity/Q175797	roddare	rower	3	Ruderer	remero
http://www.wikidata.org/entity/Q5895380	Bengt Järnblad	http://www.wikidata.org/entity/Q2211	skådespelare, författare	actor, writer	3	Schriftsteller, Schauspieler	escritor, actor
http://www.wikidata.org/entity/Q16043411	Arnold Salomon-Sörensen	http://www.wikidata.org/entity/Q2211	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q3514569	Johan Ryström	http://www.wikidata.org/entity/Q174126	golfspelare	golfer	3	Golfspieler	golfista
http://www.wikidata.org/entity/Q15695152	Andrea Lundgren	http://www.wikidata.org/entity/Q586179	författare	writer	3	Schriftsteller	escritor
http://www.wikidata.org/entity/Q16006588	Hugo Johansson	http://www.wikidata.org/entity/Q2211	brottare	amateur wrestler	3	Ringer	luchador
http://www.wikidata.org/entity/Q16006896	Bruno Åkesson	http://www.wikidata.org/entity/Q2211	brottare	amateur wrestler	3	Ringer	luchador
http://www.wikidata.org/entity/Q16025265	Ewald Persson	http://www.wikidata.org/entity/Q2211	brottare	amateur wrestler	3	Ringer	luchador
http://www.wikidata.org/entity/Q7926492	Victor Öhman	http://www.wikidata.org/entity/Q2211	ishockeyspelare	ice hockey player	3	Eishockeyspieler	jugador de hockey sobre hielo
http://www.wikidata.org/entity/Q7790397	Thomas Hansmark	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	3	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q7827243	Torsten Brost	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	3	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q1814834	Sven Alfons	http://www.wikidata.org/entity/Q2167	poet, konstnär, författare, konsthistoriker	poet, artist, writer, art historian	3	Schriftsteller, Dichter, Künstler, Kunsthistoriker	escritor, poeta, artista, historiador del arte
http://www.wikidata.org/entity/Q28357290	Henning Möller	http://www.wikidata.org/entity/Q977073	arkitekt, grafiker, tecknare	architect, graphic artist, drawer	3	Architekt, Grafiker, Zeichner	arquitecto, artista gráfico, dibujante
http://www.wikidata.org/entity/Q62595026	Gösta Wiman	http://www.wikidata.org/entity/Q977073	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q9282706	Gunnar Håkansson	http://www.wikidata.org/entity/Q2211	brottare	amateur wrestler	3	Ringer	luchador
http://www.wikidata.org/entity/Q5905415	Lars Kellman	http://www.wikidata.org/entity/Q787693	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q5547035	Carl Allgén	http://www.wikidata.org/entity/Q2167	nematolog	nematologist	3	Nematologe	nematólogo
http://www.wikidata.org/entity/Q5817672	Bengt Hurtig	http://www.wikidata.org/entity/Q848393	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q5883509	Peter Jihde	http://www.wikidata.org/entity/Q2211	TV-programledare	television presenter	3	Fernsehmoderator	presentador de televisión
http://www.wikidata.org/entity/Q1708942	Karl Wåhlin	http://www.wikidata.org/entity/Q2167	konsthistoriker, journalist	art historian, journalist	3	Journalist, Kunsthistoriker	periodista, historiador del arte
http://www.wikidata.org/entity/Q5562429	Lars Åke Augustsson	http://www.wikidata.org/entity/Q817252	författare, journalist, översättare	writer, journalist, translator	3	Schriftsteller, Übersetzer, Journalist	escritor, traductor, periodista
http://www.wikidata.org/entity/Q5916064	Magnus Knutsson	http://www.wikidata.org/entity/Q2211	serieförfattare	comics writer	3	Comicautor	guionista de historieta
http://www.wikidata.org/entity/Q2739135	Oskar Henningsson	http://www.wikidata.org/entity/Q1001905	golfspelare	golfer	3	Golfspieler	golfista
http://www.wikidata.org/entity/Q48230434	Maria Rautio	http://www.wikidata.org/entity/Q977248	längdskidåkare	cross-country skier	3	Skilangläufer	esquiador de fondo
http://www.wikidata.org/entity/Q5577222	Björn Bjuggren	http://www.wikidata.org/entity/Q760222	officer	military officer	3	Offizier	oficial militar
http://www.wikidata.org/entity/Q6255428	Per Åkerman	http://www.wikidata.org/entity/Q777901	orgelbyggare	organ builder	3	Orgelbauer	organero
