person	personLabelSv	cityOfBirth	occupationLabelsDe	occupationLabelsEs	sitelinks
http://www.wikidata.org/entity/Q5559848	Henrik Arnstad	http://www.wikidata.org/entity/Q25286	Journalist	periodista	6
http://www.wikidata.org/entity/Q5733753	Björn Floderus	http://www.wikidata.org/entity/Q25286	Arzt, Botaniker	médico, botánico	6
http://www.wikidata.org/entity/Q16594445	Gunnel Carlson	http://www.wikidata.org/entity/Q10419121	Schriftsteller, Journalist	escritor, periodista	6
http://www.wikidata.org/entity/Q5571350	Ragnar Berg	http://www.wikidata.org/entity/Q25287	Chemiker, Ernährungswissenschaftler, Biochemiker	químico, nutricionista, bioquímico	6
http://www.wikidata.org/entity/Q4983412	Aino Trosell	http://www.wikidata.org/entity/Q1025370	Schriftsteller	escritor	6
http://www.wikidata.org/entity/Q5561849	William Atashkadeh	http://www.wikidata.org/entity/Q25287	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q13788301	Glenn Olsson	http://www.wikidata.org/entity/Q3582130	Biathlet, Skilangläufer	biatleta, esquiador de fondo	6
http://www.wikidata.org/entity/Q10708858	Ulrica Persson	http://www.wikidata.org/entity/Q3582130	Skisportler, Skilangläufer	esquiador, esquiador de fondo	6
http://www.wikidata.org/entity/Q4972614	Ewa Hedkvist Petersen	http://www.wikidata.org/entity/Q1026498	Politiker	político	6
http://www.wikidata.org/entity/Q5962258	Per Lodenius	http://www.wikidata.org/entity/Q3588743	Politiker	político	6
http://www.wikidata.org/entity/Q4887796	Bengt Gingsjö	http://www.wikidata.org/entity/Q25287	Schwimmer	nadador	6
http://www.wikidata.org/entity/Q3486709	Ejnar "Hund-Eje" Olsson	http://www.wikidata.org/entity/Q2595911	Bandyspieler, Eishockeyspieler	jugador de bandy, jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q503738	Peter Andersson	http://www.wikidata.org/entity/Q2509589	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q5499537	Fredrik Sträng	http://www.wikidata.org/entity/Q1076290	Bergsteiger	montañero	6
http://www.wikidata.org/entity/Q9066320	Ramona Karlsson	http://www.wikidata.org/entity/Q1024656	Rennfahrer, Sportschütze	piloto de carreras, tirador	6
http://www.wikidata.org/entity/Q1928432	Michael Lerjéus	http://www.wikidata.org/entity/Q21166	Fußballschiedsrichter	árbitro de fútbol	6
http://www.wikidata.org/entity/Q11968150	Ewa Rydell	http://www.wikidata.org/entity/Q25287	Geräteturner	gimnasta artístico	6
http://www.wikidata.org/entity/Q3363498	Gabriella Kain	http://www.wikidata.org/entity/Q21166	Handballspieler	balonmanista	6
http://www.wikidata.org/entity/Q47506087	Erik Bergkvist	http://www.wikidata.org/entity/Q1017058	Politiker	político	6
http://www.wikidata.org/entity/Q1343326	Viktor Ekbom	http://www.wikidata.org/entity/Q21165	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q727957	Robert Arrhenius	http://www.wikidata.org/entity/Q21166	Handballspieler	balonmanista	6
http://www.wikidata.org/entity/Q2428120	Thomas Wernerson	http://www.wikidata.org/entity/Q654299	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q1797699	Ulf Friberg	http://www.wikidata.org/entity/Q654299	Schauspieler, Drehbuchautor, Filmregisseur, Regisseur	actor, guionista, director de cine, realizador	6
http://www.wikidata.org/entity/Q4982762	Johanna Thydell	http://www.wikidata.org/entity/Q654299	Schriftsteller, Kinderbuchautor	escritor, escritor de literatura infantil	6
http://www.wikidata.org/entity/Q16229070	Axel Holmström	http://www.wikidata.org/entity/Q1026498	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q3856113	Konrad Törnqvist	http://www.wikidata.org/entity/Q21165	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q4983808	Ida Törnström	http://www.wikidata.org/entity/Q25287	Schriftsteller, Zeichner, Maler, Zeichenlehrer	escritor, dibujante, pintor, profesor de dibujo	6
http://www.wikidata.org/entity/Q5721995	Anders Faager	http://www.wikidata.org/entity/Q654299	Sprinter	velocista	6
http://www.wikidata.org/entity/Q3445090	Jonas Anderson	http://www.wikidata.org/entity/Q3582130	Sänger	cantante	6
http://www.wikidata.org/entity/Q42875264	Emma Frans	http://www.wikidata.org/entity/Q25286	Wissenschaftler, Fernsehmoderator, Epidemiologe, Schriftsteller, Wissenschaftskommunikator	científico, presentador de televisión, epidemiólogo, escritor, divulgador científico	6
http://www.wikidata.org/entity/Q5236464	David Lega	http://www.wikidata.org/entity/Q25287	Geschäftsmann, Politiker, Schwimmer	empresario, político, nadador	6
http://www.wikidata.org/entity/Q48803999	Johan Andersson	http://www.wikidata.org/entity/Q25286	Fußballspieler	futbolista	6
http://www.wikidata.org/entity/Q5195410	Curt Masreliez	http://www.wikidata.org/entity/Q25287	Schauspieler	actor	6
http://www.wikidata.org/entity/Q5623291	Peter Dolving	http://www.wikidata.org/entity/Q25287	Musiker, Sänger	músico, cantante	6
http://www.wikidata.org/entity/Q15229616	Petter Eldh	http://www.wikidata.org/entity/Q25287	Komponist, Bassist	compositor, bajista	6
http://www.wikidata.org/entity/Q5556522	Mattias Andréasson	http://www.wikidata.org/entity/Q25412	Musikproduzent, Sänger	productor discográfico, cantante	6
http://www.wikidata.org/entity/Q5543057	George Osborne Morgan	http://www.wikidata.org/entity/Q25287	Politiker	político	6
http://www.wikidata.org/entity/Q5626631	Göran Johansson	http://www.wikidata.org/entity/Q25287	Politiker	político	6
http://www.wikidata.org/entity/Q50088239	Sofia Hvenfelt	http://www.wikidata.org/entity/Q25287	Handballspieler	balonmanista	6
http://www.wikidata.org/entity/Q3014712	Daniel Sondell	http://www.wikidata.org/entity/Q25579	Eishockeyspieler	jugador de hockey sobre hielo	6
http://www.wikidata.org/entity/Q4963596	Susanne Lorentzon	http://www.wikidata.org/entity/Q25412	Hochspringer	saltador de altura	6
